08:41:38 web.1  | started with pid 8567
08:41:38 web.1  | Node app is running at localhost:5000
08:41:38 web.1  | info:  start=0
08:41:39 web.1  | info: put chromosome=1111111111111111111111111111111111111111111111110000010000001111111111111111111111111111111111111111111111111111111111111111111111111111111100001111111111111111, fitness=75, IP=127.0.0.1
08:41:39 web.1  | info: get
08:41:40 web.1  | info: put chromosome=1111111111111111111111111111111111111111111111111111111100001111111111111111111111111111111111111111111111111111111111111111111111111111111100011111111111111111, fitness=77, IP=127.0.0.1
08:41:40 web.1  | info: get
08:41:41 web.1  | info: put chromosome=1111111111111111111111111111111111111111111111111111111110001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111, fitness=78, IP=127.0.0.1
08:41:41 web.1  | info: get
08:41:42 web.1  | info: put chromosome=1111111111111111111111111111111111111111111111111111111100001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111, fitness=79, IP=127.0.0.1
08:41:42 web.1  | info: get
08:41:43 web.1  | info: put chromosome=1111111111111111111111111111111111111111111111111111111100001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111, fitness=79, IP=127.0.0.1
08:41:43 web.1  | info: get
08:41:44 web.1  | info: put chromosome=1111111111111111111111111111111111111111111111111111111100001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111, fitness=79, IP=127.0.0.1
08:41:44 web.1  | info: get
08:41:44 web.1  | info: put chromosome=1111111111111111111111111111111111111111111111111111111100001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111, fitness=79, IP=127.0.0.1
08:41:44 web.1  | info: get
08:41:45 web.1  | info: put chromosome=1111111111111111111111111111111111111111111111111111111100001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111, fitness=79, IP=127.0.0.1
08:41:45 web.1  | info: get
08:41:46 web.1  | info: put chromosome=1111111111111111111111111111111111111111111111111111111100001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111, fitness=79, IP=127.0.0.1
08:41:46 web.1  | info: get
08:41:47 web.1  | info: put chromosome=1111111111111111111111111111111111111111111111111111111100001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111, fitness=79, IP=127.0.0.1
08:41:47 web.1  | info: get
08:41:48 web.1  | info: put chromosome=1111111111111111111111111111111111111111111111111111111100001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111, fitness=79, IP=127.0.0.1
08:41:48 web.1  | info: get
08:41:49 web.1  | info: put chromosome=1111111111111111111111111111111111111111111111111111111100001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111, fitness=79, IP=127.0.0.1
08:41:49 web.1  | info: get
08:41:50 web.1  | info: put chromosome=1111111111111111111111111111111111111111111111111111111100001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111, fitness=79, IP=127.0.0.1
08:41:50 web.1  | info: get
