IP,puts
d92eca5c75ef46178cb6d62d85eac7c4, 5702
dd97ca8ee3759d2fe1e3cbf08a2692a4, 1346
bb3c648a5e10026c867cf48b2b38f320, 953
c90b413e61d6d412bd3f9771341b00f2, 905
1f94071ecd0ecd6891fe65962dacdd83, 874
47cdef2cb8b21819c44a9553334bfce4, 682
7ce60854e3db96e81d6f8cc1b793e008, 449
4941f54b3ad1a530a558ac77941f6bbb, 402
cb341109288049d17c5006abeb6a2ceb, 284
03e3da2e682f07d494d2c77456d5b078, 176
8fa7d414d7db50a49f79caf461dcf8a9, 173
849896b90a49e5ddfba41ea7e0f5ffaf, 171
c639b20af23be12e617fa1ac4a84bff9, 155
60199291f632e2ee5c6eec8c7e94d257, 125
b249a4acae5976286b788d482312218e, 98
7898a32ba903343ea54d11bfa8ff3888, 95
1d7ddfcbf69f42774d4bf081614e2a05, 92
55e4f07084257efa8113ff18a74780f3, 87
c6e87d9b63565e38860eb28376d4e682, 82
59bebf8d8efb9cf2f4a3f464210a2c01, 81
32b85f70de6af2983bf03c51b3651005, 79
278318a28f978ec625fa07fe140270be, 77
1bb1b7b42b6e73f671da288a25441dbc, 73
22309e507d7c32ff327acba18dfa97f2, 60
ea57f63f5d08866ad7a0eed22ba75a8f, 58
acef4902e96d978658f7b5076b31fccd, 47
b50639944b791685191bc957f83490db, 41
21aac13e0c290db42e5b521bfb1f40d0, 40
15b2deae03e3fd9386b8d555a0cfc264, 32
049ba10f238819a4d15d02a48650ee02, 31
1ca40d56587e5c5bf2d65aabf594f590, 30
c4e3979754bf143d41055867717126df, 27
01ef3310dbe214dacd26522ca7543463, 25
823d3609c313f4934024c49a3b30cd21, 24
cac93df51f2f0eee7ffee8219719a347, 21
e112bb7648374f716266cb16d1920b40, 19
32507b96265b714afe303905166f4f3b, 16
6f2bb982e1bb3bf4565516e818819eb1, 15
f69da47665b2be69fa2364f0d3459a74, 14
d6e434439b97a9b063474c3b53f6025a, 13
30f565602a4e7815a1810b5fd71386c0, 12
3625e89557c7aacc72cbf6c625e9e3fe, 12
b6ebad96475b35a1d1296340bcdf8ae9, 10
76d2b2fbe3bfd02351c96270d3f4cd71, 9
1595e8f5107cfe96bb0071de983ec654, 8
4d0620b7a9afcca6da4b4d3e0ee83052, 8
fc5e1f5be014337941b896805d7ee8fb, 6
029e88d2243ff28624009b3771453dc0, 6
068332cd1fa30874ad68a7e917e516e3, 5
5adce286e618d43ceccc1acd525b89dc, 5
d5af2079b5dcb3cde3c5255e50917532, 4
e44f9a4d9cee9d5eb96d6587c2341c6d, 4
7b52821a72f51d36688a6d688f1ec2f9, 3
d5dab71624ff9dddaee1519923fe65e4, 3
971acfd7bb4d4230a34f85ef52246eb9, 2
e4027de0aeefecfc449f9670df525105, 1
