IPs,milliseconds,PUTs
17,2044188,1661
4,44811,19
6,514489,36
5,168403,23
7,273084,382
6,448723,223
8,1281341,131
9,2253702,215
6,180000,127
11,1301567,280
2,36574,35
9,4342919,121
2,304624,19
4,66992,37
3,350421,110
14,34627398,265
3,79640,16
2,21066,5
3,121641,12
3,677040,284
2,222252,255
2,184423,276
2,164466,104
2,284976,130
2,432265,109
3,488867,91
3,259531,106
3,232195,221
3,144415,134
2,333243,190
6,983542,788
7,799581,1241
4,5336,6
2,77177,48
3,82274,49
5,113768,168
5,38055,92
8,902295,1302
9,1503017,971
4,183632,95
5,222182,211
5,712317,629
5,435611,276
4,916528,462
3,392389,70
9,681669,972
10,468334,992
3,3616,11
4,7796,17
5,35594,56
4,8083,13
3,3560,6
4,6523,16
6,4537,14
5,13430,35
6,78767,134
5,4837,14
6,40375,109
5,1627,6
7,51740,167
8,115678,133
5,88289,39
6,606519,114
3,46840,49
3,126906,94
7,401008,478
6,221535,216
7,732672,328
5,587734,141
5,512089,22
6,3055436,202
10,11908361,290
7,275706,488
3,12373,26
8,366668,1024
5,170790,390
