IPs,milliseconds,PUTs
4,11837,90
6,33346,144
9,53673,307
8,38911,267
7,20625,135
1,1024,36
3,19861,20
2,35844,77
1,68,2
4,11687,181
9,127231,654
4,16564,98
8,53090,515
3,20375,96
3,1765,63
2,61902,10
6,192516,1149
1,35734,2
2,21821,81
2,14853,120
1,20,1
4,98023,208
4,123341,205
5,74301,330
4,78010,613
1,201,8
1,116,1
1,3,1
3,50383,17
4,28387,27
7,51246,293
5,11069,69
1,1624,2
4,53584,225
2,12754,16
5,9240,127
2,22445,25
1,20413,1
6,121140,502
3,16239,76
1,1611,59
2,15971,3
2,106339,156
4,103670,329
3,48296,138
5,28213,287
1,11433,415
1,45,2
7,152120,448
1,1395,52
1,51562,1
3,118662,304
3,55166,141
1,596,23
7,211641,471
5,60037,427
3,25531,75
2,112257,184
2,13818,3
1,7310,240
3,182675,726
4,191273,589
3,47021,75
3,23745,360
4,6629,186
1,2072,72
1,33667,11
2,87110,88
2,153702,65
2,11876,144
3,112822,268
2,36367,124
3,78683,273
2,14898,70
2,6117,61
5,83696,359
2,15538,36
4,10107,178
3,5767,216
3,14154,108
2,438,2
4,47433,170
3,2295,91
3,34,3
3,17040,36
2,9102,26
3,86831,273
4,2259,40
3,1052,43
3,104403,515
3,17274,160
3,3714,38
2,2513,6
5,68929,262
3,2908,111
1,2,1
5,47511,145
3,2226,10
2,1434,5
2,31332,73
1,14876,25
4,48371,580
3,939,35
1,39,1
4,6758,265
5,11658,114
4,25835,289
7,55607,244
3,3934,9
4,24079,57
7,138081,596
6,12122,469
4,11492,84
4,43968,113
2,21663,38
3,4816,103
6,90928,251
4,132282,674
2,4718,14
4,61339,407
4,92003,216
3,1960,73
4,21996,229
5,66560,167
3,3703,135
2,10444,27
1,410,1
1,13519,1
1,1817,64
6,131292,490
3,2934,109
5,15716,84
2,22254,32
2,13050,21
2,788,27
2,8134,14
2,22483,37
2,81645,146
2,6240,11
3,15646,559
1,30,1
3,21622,103
3,16506,75
3,5544,11
3,38670,83
5,169668,258
7,17523,114
2,1546,4
4,18601,38
5,12028,37
3,3096,8
5,2724,101
8,15575,55
5,1268,43
4,2722,109
8,28384,392
3,3247,11
4,5282,14
6,15390,63
5,21615,62
2,1661,3
8,91155,546
6,2588,98
7,1189,49
4,1031,43
2,874,35
3,3844,117
5,29287,52
4,22552,91
7,92681,498
6,1456,64
2,268,11
1,185,1
1,1046,2
3,1970,11
2,5871,3
5,17082,46
5,6281,25
4,4684,20
1,301,1
2,1085,3
2,1045,2
8,36153,194
1,29,1
5,1207,9
4,4577,27
3,13876,60
1,14,1
3,3605,11
6,45551,236
6,15902,72
4,10729,38
6,50036,238
7,97208,520
6,147215,572
2,41817,67
3,25704,69
8,131027,1157
5,4847,133
4,45378,551
4,1350,53
2,824,33
5,37060,156
3,482,20
4,19745,51
3,6609,99
3,43940,168
4,51982,244
2,2493,87
2,928,3
4,55977,79
3,1415,5
4,23426,57
5,24370,83
1,36,1
3,2048,9
1,35,1
2,13077,26
2,21393,27
2,21474,28
2,21485,26
5,8448,256
4,1903,74
3,1128,40
4,18770,62
3,20023,56
6,93905,370
5,2513,101
2,155,7
4,36643,124
7,44578,324
6,3692,157
5,2027,83
6,63623,210
5,2210,9
3,1355,5
2,1202,3
4,57631,162
4,107221,389
4,39157,134
3,6867,22
3,15832,32
3,5914,14
2,10881,21
4,26614,68
3,2548,10
4,42277,584
4,23763,66
2,95591,174
2,65061,115
1,2011,3
4,97530,446
4,2799,106
3,3020,114
3,9890,349
1,24,1
1,1647,59
2,294,8
5,56975,129
3,13717,104
3,16087,41
2,10189,28
2,3774,137
8,123971,380
5,3216,16
4,3772,17
8,49228,245
7,2199,24
1,74,1
1,4,1
4,918,34
3,1337,46
2,3894,132
7,49286,524
4,30088,112
3,4952,19
2,15463,38
4,48138,194
5,106304,580
6,123015,337
3,1193,4
1,2717,4
4,87413,363
2,42470,67
3,34321,53
4,180889,376
3,4149,153
2,1351,54
1,1394,44
3,3425,12
2,4168,144
2,24695,27
2,113607,213
4,25701,38
3,4509,173
2,1412,50
1,67,2
2,3830,6
3,58257,194
4,99414,211
8,109500,828
6,21991,327
5,19818,52
4,5995,216
9,53820,472
8,24293,281
4,14180,537
3,5782,217
7,56494,106
3,26200,31
5,100004,435
5,9471,238
