combo,puts
72b6c9063152ab6bb9796a4b50a1435e, 1218
6ba4d34aa4fab06915562ac50221a4d6, 858
e0d105513756c1bcbc5db61b7631c08f, 755
cdd7b7474a018fcf4ce58a8da3f316ba, 726
ba8dbaf4c9e51aefa122ad685115dd4f, 684
281a92a3eaaf7ba4e69d3554a86c9150, 651
6953db16678fcd4863fe730a32f88557, 651
fe11fb8045d76ea2af921853bd08c2cd, 642
ceaa85954449fdac927c7bffa845a08f, 639
81f933522a82e3ed5ca3d6bf0a13cf01, 625
644ac740b2aad0c1d08edece2a49d6fa, 620
f69520bb53301cf837ed84284a156b33, 612
7d6f54ca674ac439ebea642d2825a884, 591
ed7b44e75784801d00040d86d8e106fb, 579
96efc0fec748ad54af51926981d29012, 571
45045cd3182f117b391f8a60b0d93290, 563
6a0c7fc35c1065105f94a0571eea96e3, 559
7a2495e468e4d9115329cbaefc8ec105, 557
47d5bb43320ae46f5c301871bb532e3c, 542
10d6617f9857e36fa224687b56834cce, 517
c4083d9766b6b076a118e6b1b802b6a7, 515
eea1672662a6dd5f203ad4242fc25b48, 511
495205d9e1dfd445bf405fbfb77c0efc, 500
23bcc50abf050fb471fc5197e8e34520, 499
c4afbc27f0141d44e6fd2be89df0df82, 494
828f2ad1539c42c8ee7c8a3a0f480247, 487
7ce307b0780832d08cb9408030d508d2, 484
bdfd191f0a2efd54c104001e40e8b3f0, 475
dd213e74c5fe62c9aeee7c3d81240116, 462
4b8bff7efeea1eeb4d6400f5cda5b5b3, 462
538ba1dde5a7548c3a8901a900912e25, 443
554c62ed222f4542599c1ecab06a92c0, 441
3823e88f189cc640078dc05a6dfe6ac4, 439
7143a6fa2da0733aea4569ad16bf1105, 439
7e6ba2aedcce491dc2c14d9e2623ca69, 430
f3d8fec7c05743ba5b522aed4b29042b, 427
7b5f43ca366f2f55750137aae17d0a5d, 423
4b621a517e76c0cc328fb2ea35b96a77, 414
a0bbfadc22244090f7161c92db1790cf, 389
f7421eb06a324953e708b0d6022cf05b, 388
1200cb26f3edce06c5b942c102ca339b, 386
88fc3ae112f3b1c2c0a24b77939ed7d4, 375
d31d06c3e1d387fddd1c37dbd17d0454, 371
2985930a15b66c7127160e7bbfd22a94, 361
780c040785f213c9e3462e0ee4728a3f, 360
faeca875c9b1fac39fe35ec7a9c2c7b7, 357
7e5020fc048a1f789425f02f24dce5ce, 356
1539e4a3145b9da88d7a99125c5fc1ae, 348
ec05781332bd9d88c819232170749a48, 344
fb34dc895500fcc9b3d7cdcbbcf7fb3b, 342
66e02c848b39e443f9b401e810e7f1e3, 339
a6c55c4e8660f6790286cd8a6759b71e, 331
cc8667760bc7c9b4054250474c1e4bcb, 325
025e092ce556373938d62f5b10ba83db, 324
95ec3ddb821144f97220f075da5026f9, 319
f8217147ac3901540c121bb0a0ef3f7a, 306
4199857cf373512cfcd1366b11504deb, 306
b9741baf07a466fd7b28fd2c688976aa, 305
d4771cdcf4156b64d6f51d85054f3b6f, 303
492e13d159b055ea43392eeb1f11b4f7, 302
3bf02c01fd5dee1ad89c0ad6d5835dbd, 300
6479c2d4c12b32b8f16fae383ddf843a, 296
2c119d904a368186bb3175b1e7cf2446, 289
08cbf9f7584cca77b5c9230dc097d9e2, 283
efcf8d7abf4af6fb9af00f0cf17f47a3, 283
5eccbb544f568f3e136781b255e78594, 280
5837df4c33b76c5dd1de37854332687c, 278
499112b407b06f13cbaf2cb01c2ad807, 275
cf6c0470d4a5eb604fa37d14d18faeef, 266
19293c39ca161d4c14280fe09cd23499, 263
cf654a526c8a91ff1779e39bb6013ed7, 256
dc431dbf7f4ebd915097cbedd5234001, 256
9e84c02923fe3b2c238c604b5b57f3ca, 252
0db7a603b75291349c9ebf575a5dcb78, 241
a0cafb7df9851d6ed3fe8f68fe43e1c4, 239
497fb7fa2159c6914579ee8d6f5ece77, 237
5ca4d8a774f898314bbd3b4102f10395, 236
095acc897bfbe68dac72745ef64fe4f9, 235
885c8825f91ac609fdc889e0e49bfd27, 231
c21c21c5afbd86c35f837a1e03560de7, 228
acd1911417f03fcc0b054ad4340119d1, 222
c0ea8b710157e932876f1143bbc31489, 218
9053657b06aaad8ea03bb30bcd8a97f1, 216
e5b4d6f32e172d3e4be0cc3c15b96f1d, 211
af10615b6dfc1c592306c2877828c7b6, 207
f251b867f2368761af0fa82842a60850, 204
0f8bbdf3ecc17d3bc7585bb652a4b2fa, 200
b6f8c6156eb8d26d18395d0cc54adbc6, 200
f521da76d73979e0f356f51f642e0520, 200
041e77d626e51032f6e208cb60bbe891, 195
1bdface65e339cb6f2bebd0013a00ea1, 193
d7963634d3426b4627e196c5d3df75a4, 191
292baf220caf3f03e78cf2e2382a9444, 183
90da6ae8751d8b5f704bda11d257d599, 180
900f0fea558f32bcae36e40d6f607f3e, 178
038d7dbd12d18131aab30048f71d69e0, 170
61cd73721e448a6eb9b3f0d761f6b0ca, 169
a524438558a070151cb12df255ee7fa8, 167
44c87d4bdbfa256f1f40bff0c9c6bb9d, 166
f4c2d45ec9fb31400d8f5ea3aa564cb9, 166
6eb71f25fa77709d0ee3d728592b9201, 160
2ee8c601c592605311fe16bebfd2a918, 155
