IP,puts
54d0bcd9389c1beb52e2f145ca4ddb92, 2070
705e19b0dc5e72591f7076e2b7710e64, 1222
eaf702c0659b792f55effdcbbc62455a, 1210
7b1b5016b80da7ca012cd44681e8cafb, 910
69e7eab31bdee0339653954062b71cc4, 647
00c352a2a9b1d010a80fea44149163a5, 599
c13a9118bb9e78d0b60dafebd8baef3e, 461
15ed4969740c54e2429a8a56a882c067, 452
9425bf5e6bef108c5f657f8e34ef93d1, 386
82afeb5302f10cf05ecc8225874233e5, 342
6a0563f50a88e498537506134d373466, 305
1169a3ad87ebd3890050462fe4807b68, 281
67a7d546ef36af9e6aaadf068fb45de0, 273
6f1bb6824ca382f1e74f73cd0b231a29, 267
85182c1dbc608b699d053083f6410bfe, 263
587a291d1efce5cdba719edd021a16a9, 253
286359aae855d25307346e2c2d7a3321, 246
a214b3e001b7d99fb80c82efd3cc1f1d, 231
4c0818908babdf6a30f4169325581b9c, 205
1f7d5d29fb8ab2f6079d7be013d6d2af, 203
71dde36ad4a9f9504cd61f7ae646d7fd, 200
a7e1c2c994635c5d4741b3dfe62527da, 154
67b97f44f270d82d26c6f72903094745, 147
7b4a840e6c83d31d5998e4136239cd03, 142
6c4563081d55deb13c7e78191a325b8d, 133
7cecfbe334204dba719134a4c7603ccd, 132
3473b51754dd9a71aa91d3ba6bf40b44, 132
2ace86a80b2c3f1087450e2aa969e5a6, 124
78ab81a99a1d352e35ea36e57a28128b, 120
76683790e791573d5c533f88361b5a34, 108
e3ef345e92b13c54a829690406a9081d, 96
826ebbf14985c2add324010de700f319, 93
b5d5cb238a7ad9d00349932e9b66dadc, 85
d6f7e1f28dba3dde575a196124161a1e, 83
f7cf5e6fcbec50625f902c2914020848, 82
5b52e68baa5241896e4c928f9c48fe95, 80
c18a9708a6e6edf7fba28eb81430f8b8, 80
28aaed85c41c1c1e1eecd232c4e839db, 78
27edfa287b3e655d08158461af24f34a, 76
1942e8e52b6feb44fdf3348109b6c0e8, 73
1e6df5197f3e578992a3b024a0cac9ee, 71
1951b1f93c2f077ac6c1c0be9c252175, 67
c918b896327be8c3db8077a8190df101, 66
6b9111cbe36d1bb778a2a9d02d55302f, 66
81e28871c90073e54297a30cc22fcb39, 60
173901b3a978a2a92a427302ee166aa8, 57
83282f1aaa70d0054c792ca2f6e6c32a, 52
483dcaccdf2196cf51977b53b54c58cb, 50
