IP,puts
17bf3b42e977805c5e2c75ada1640274, 1597
6fb5784f007fbce0f5f061e9b4db6995, 826
8da4e8c84c94ddd37af86028acc35a7a, 805
2e00e52387f71c519967101f81981538, 607
cd2aef4ac1cff15ef8cfc025b3587864, 523
2e8872986ec2df0dfbf9927f99609fa8, 516
f1732b523b89cfd80385ba15bf4551c3, 510
fe91511350784e8e718e1612dbe9c221, 438
5729166081d3b252938bebc80b1002b2, 359
ad6ec6fa3f1bf1141544b05fd54b0051, 347
8bf3d9bfe4e8ebbc554fa058c31b0cd8, 345
3e575b70e43a29728475abfa4c564cf0, 329
397d9299b825f9dfd0c538390d109b66, 327
ecdb2bae429aa8ff839f8fa5722c924a, 288
318348c08f1293e955c1ee93b14f3e32, 269
ece76c1a878f81ecba567f110e5ad4d8, 214
7958e67da6ce25672ef9fc8f3e6ac361, 207
7438afddd3ecaf78b88befac4cf76c27, 196
5a28c852dfb635acb56353ee0c9623a9, 191
ac2318bd6f04cfbd16f9a476a5786915, 184
89a85b66c20ec0c6e990cebdb4ded34f, 181
e9dff69f94581711b1c471ab3c8669e0, 173
300a90f192485b2585375b130d687a49, 161
fbd337432ff99886b138fe84d75f1d70, 159
6167987999d91ea8ac2d72d729315666, 142
222da7d2efe25f10f8b8d114e6cd9315, 141
a0d8d0e361c308309df5bd286254ac3a, 138
fa3b58a38af9f5de52b5e43bb732738e, 137
3cce0f6aab371e0859418726f5856b5a, 133
37db94802a507a57ca7de78b8af25af4, 128
1191f2901d38f3489fb81109b1ceae61, 124
7b39bc40877317c09b0128ae7d3d25ed, 118
2058769d15798080352af0ad1dde8899, 105
8dbc3397c02f93365c4ec54ad6878cf1, 105
58597207b342fff14d2cbfdfeddf919a, 103
61be17297f4ec2f5c1e618ee9b525cd5, 88
9a75643a87dde244a562063cb1ec12d6, 87
af81a34f1d7992fd46ce16cc82d40e54, 85
961bf931224a23bcc9d10e0d96b04a9e, 84
cfe03742bc623223f72571128ce4ed3c, 83
f121fa37ffec0da5d3f17a40980e4fa0, 82
ce393e1d38727402d818260750237221, 80
15abe2e37dc327938258ff12cdb742dc, 79
5db08d2d76dad5407debe61e7e7c4bce, 75
ac397331cd12b1397154f67123e71562, 72
23e7fbb61ddd8713497b7ef626a01afd, 70
991a06d54debf1398251bf67cfc0f248, 69
a596f6110fd34ba04d3d408cef7e5ae9, 65
e6d6e672f3e6184c98398efdef3412ef, 64
cdfb477668cbacdbf8f3dfee7c45ed48, 63
839e88dd0451e8ee4f337d869c745635, 62
2feda7ab589cb08258cede2e6e86f2a2, 62
667268642587acfe60681685cdbd0c93, 60
481a38190ee784d15715be00779c04a2, 58
86520544a03c3e23c9cca22df0d8b4a7, 58
c01fd770aef6833f87dc2ba07d20598a, 56
5ae49a250d0002460cbcea4fdd4bf4ba, 56
511b5b81ed5b179eb6dd522d8d283be3, 56
f46592d9d10efc7f87937d50d8f22ce2, 56
54d0bcd9389c1beb52e2f145ca4ddb92, 55
34ad302b60665f5e9640a439bd3dc67c, 54
9d83ab962e77dafb97e34fc59059f10d, 53
aab61e22f7356992fab4834700643cf8, 53
a3ff89727a1f96e59612adbd6e0245f2, 53
d5d0762ecf0f594b6f84da51cbd70aa5, 52
2b616e1eeeebb83e4d78628ce7d71bf1, 51
b1b9cffe7cf00c45281b6c985281db90, 50
563bac07677e0fa27475d3933e152231, 50
355c4aa52c542d90dc2afe8f0a402902, 50
e66452a6b74fc006bad105177bfaa8fd, 50
888f7d4ff6ddc325c5d77c7a8c757000, 50
