IP,puts
9549279edf95f2bfd53de6ff8bb10c6a, 11188
f6ba530eda32f84ea080190c4580686b, 1782
b52946de53c98451680cd9b7bc792eb5, 842
4d4c9a972da38e45a6b64e64cf6be688, 840
34957d4e2651dceffdad32c5b68df565, 835
63b6d76957735bda996a2c578c763edc, 508
7eeca88b69ff3d45f1cdac9de7ade1e2, 393
a845ba2adb8474fd852404d375a59f49, 376
0dab5f91920e77414c1c216fa393dd81, 366
ee9c2fb0e4bdfa19923e650f2b0d0aa6, 355
a6d66b4399a3a7e575ff3951ae34e167, 283
d7ca2f1a8e2970a28c95e35970404bb3, 259
25998afdb9f15f66ec032a59c49502d1, 254
051a66cdf8daee75baee6e1f7efdddb4, 252
89a85b66c20ec0c6e990cebdb4ded34f, 231
9aa7b57ca338516070a9f9d600e68d1a, 218
41393c0993cdad735f628ad2c645fa91, 209
6d4d52cadfb09fb0d6065fb240ea6cba, 199
c28893640bf287ee8b3b7d0d254432d1, 194
791671d7afe911449abef22634f0cab6, 193
59ffc31d5aaefc8155e6a0486073e502, 191
2ed924c023fdbe4bff6247a893988c4d, 185
e45909a52c51c9311caff7a012a55a05, 175
40ad882afa355ca04ecbcff597f26407, 170
1f859b37679aa6d7705c02f4d3d8790b, 169
45db5fd32ecf8aea1b6e549e6c8aab1a, 154
6f1bb6824ca382f1e74f73cd0b231a29, 140
2244f296851558b721a6d3d2dd1c4927, 139
4a96592a5f452cf7333b2cbadde98a9b, 129
25f99e1ea4efb2cab5ddd27ee2643685, 116
90a08b217996f36a3da2311b7256948c, 98
a9d57e1d7dba3c8aac74de89273a9112, 87
d9317ab21859a17ea8c27a66dcc6cc85, 81
f4f5214caf52155a36ceef2033fd6797, 81
c30889676d0f28f4639f5eb4ee7856ea, 79
345a904fc774911884114200eb9b8531, 79
e539a06668aa6a2fed9234888bd0e81c, 76
5fd2c2c89042a31049f1d1c9ef93eef7, 75
215565e9e54aed51d4c3de764782006e, 67
184cd9cbc32e0ba2a0d1cef3287e6e75, 64
9a4d06bcb56b7660caa5380a8dfed9f5, 60
b041f25bde107cfaa29b8eb16156e131, 60
881a8d65e66168ff684f4c2baf6c3e93, 60
0efbff56e8d7747fef9b76cb7a829fa1, 59
06d1849537cf03a3e17aa9b661edffdc, 57
9e245fab6f6f2727da016c9ed0684136, 56
86f3dba0dba7275595bb3bfe51f66d4a, 56
21e36bbe0159564ca80c30aa3c352a8c, 55
cbd71f9d766498c1080025957c114507, 55
61c16e5dad087c40fc495a0804719d48, 54
d680d69ce0395dd0d0b780e153c9829c, 53
1affd162ddf88dfbabee1373ce864a7f, 53
f90b1ff99818b0ab720ab81d1aeba075, 53
49ce0e325c47b496cecd05821dbe53e6, 51
95f01270780185e0bc610180fc0b5554, 48
95319e3ed4e740cf2fdd35a432a35ce1, 47
6b7db67e3552bb262b681ee95701117b, 46
3199a82587afaa21695e91a053a69375, 44
76c626f403d19cd39f1118fcf26364a2, 44
732d23bcb1702365d0df59ccc6e408be, 43
b76dc896d1d6a9b43dea2045978eb4ed, 43
4dd7639d58c73f468487faeede44b6d2, 43
86c9127ca04d5097d997e5f4e0516acd, 41
41a3a16f1dd2c48e4966f2d3f36c1c84, 39
256aadf3fd804a04f43b67b0a0c897cf, 39
37df569ae541b8e80f93e1ece9632b61, 39
98a3d674a52fd3f271ed3db97df8e314, 37
343fd30fc090ea33a4b32ac96520dc86, 36
92f99727a898eca444e04975a6fc83f4, 34
a6ad524b0489441d2715c00f379cbe50, 34
17382bda0713b92cfd00951bdba28fc7, 34
0b28846b64ae7aac99d04926dbf6acff, 33
8829fb4b8bba6dc4f863389f954d0041, 33
b4562893062fbac3e0f6bed8125dfef8, 33
1ebbb9b330b7a1186313b3d1ad0dec18, 32
6c4563081d55deb13c7e78191a325b8d, 32
d3816ba8761165402e5e217554301515, 32
36c4c2bab1a380b203991bd624cceca1, 31
427754c4d5513d23f52b7c489901c3f1, 30
efa8788b8dfaa7e08e2e590f658574c1, 29
3c73d83e2c30284bc0de149b29d19638, 29
44b20c4c4b2ab59e032168143870ab85, 29
a4b076921ab5c0ecd8fafe88a38c9019, 28
59f03fce3720c6e54144d97d2b35a871, 28
3aecd6a51a76f2b3265718c6c605d4a2, 27
129d25f763f7071a7a35e220236186fe, 26
ee557a61ca4209f1fefc48c01c2c9c88, 25
c134cf56b082d1a5fb755bb3b20ace10, 24
ee01023578dfb9888f2f6d9106e0f3e5, 24
1fc14b3786000c3da9959bce4e7bb481, 23
569b40b724fd75343d0e12bf869f7f04, 21
e6beb3c88f44f60b7e77fdf1bb8550ea, 21
1ef08b6e7901948acc4999e48609b073, 20
b4c66d7df575bfaf48398b6b9aff1ed6, 20
5b4783f7f554efc0817c5d3377e56764, 20
804cb145f24470563a2daaa91d3fc3e4, 19
ca84e63662f06536d62ac0f2431192ec, 19
2b1d3412133ed78834769c4046f04091, 19
80d5cbbc3ba93945c2b0fb359339c00d, 19
bf70c9967d2dce88114e787d65685ff3, 18
3312b3e5fe09d8eb746587935cc3e809, 18
9e7e139ff125e4883b3917291cbf65df, 17
f156e44a71d812cdb58c77dfdd954f6a, 16
4130d760e8511b4937c1eb4a71495bc8, 16
3ea71d5462a6367978bb40953a0c2eb8, 16
9909819a2d47a73e3777f2d401fc1cf1, 15
cec05b5c770216f7a0fe01b13f0438e2, 15
21ab0557f3c25913a68f6a51142009fd, 15
