IPs,milliseconds,PUTs,actualIPs,actualPUTs,reboots
4,11499895,19,4,11,0
4,1320580,657,4,19,0
7,714036,874,7,75,4
7,1032804,1046,6,134,5
4,1539296,2083,4,35,5
3,38128,40,2,4,0
11,1460932,1409,10,59,1
6,1867534,1244,4,350,6
3,792419,772,2,7,2
6,1287615,2231,5,45,0
6,894569,814,5,18,0
7,1528008,1274,3,16,0
8,433268,343,4,19,0
8,1477969,1444,4,18,1
5,878147,751,2,3,0
8,2981237,1843,6,41,0
11,5246851,4416,8,110,5
6,8015778,456,5,45,1
5,2988667,2391,3,199,5
2,90870,88,2,2,0
2,1169265,1080,1,1,0
2,2472495,1553,1,178,2
6,577842,595,6,52,4
8,88577,355,4,158,12
9,155908,413,7,21,4
5,3038,7,2,2,0
12,1177858,3104,9,201,3
6,213458,338,3,18,0
8,530158,617,4,11,1
3,273465,331,1,4,0
3,552001,136,2,2,0
5,1663816,603,3,181,2
3,51271,53,1,2,0
6,1923454,780,5,86,11
5,4348082,901,4,90,10
4,2681719,119,2,23,0
