IPs,milliseconds,PUTs,actualIPs,actualPUTs,reboots
7,796214,1318,7,349,13
1,14946,13,1,3,1
3,392619,646,2,252,1
5,935161,1246,5,362,17
3,118146,209,2,47,21
5,164676,307,4,19,2
3,39020,82,3,58,3
4,60898,111,3,30,2
5,176233,367,4,305,2
11,1482769,2571,8,112,6
9,580179,683,8,31,1
5,215906,355,5,185,0
11,533752,1171,10,108,8
13,1949036,1465,12,87,9
9,419047,406,6,31,2
16,923154,1240,13,86,5
13,492957,507,10,85,9
11,876376,240,6,48,4
10,430789,251,10,26,5
13,439069,887,10,67,4
16,274041,667,14,86,6
16,919867,869,9,83,7
12,293317,500,6,48,4
11,155487,266,5,38,2
9,269397,379,5,55,3
10,61887,141,5,24,3
13,866921,1413,9,72,9
9,160025,372,4,37,4
12,1714300,1926,7,78,9
14,2405601,1197,12,84,5
9,441372,431,4,32,2
7,802728,763,2,38,2
7,1274237,1500,5,32,2
5,811867,453,3,26,3
14,3716587,523,12,67,3
5,1315168,1076,4,41,2
13,4606164,1168,12,67,3
11,4654450,573,9,99,6
3,412855,314,3,41,3
6,3217229,568,6,75,8
24,34588405,2774,24,156,6
8,29991227,1295,8,57,2
14,8004193,1079,14,67,1
9,19222012,1048,8,60,3
14,36578082,1505,14,68,2
