time,IPs,PUTs,updates
2016-03-16T09:11,1,25, 1
2016-03-16T09:12,1,54, 0
2016-03-16T09:13,1,53, 0
2016-03-16T09:14,1,53, 0
2016-03-16T09:15,1,55, 0
2016-03-16T09:16,1,52, 0
2016-03-16T09:17,1,53, 0
2016-03-16T09:18,1,51, 0
2016-03-16T09:19,1,49, 0
2016-03-16T09:20,1,48, 0
2016-03-16T09:21,1,48, 0
2016-03-16T09:22,1,48, 0
2016-03-16T09:23,1,48, 0
2016-03-16T09:24,1,48, 0
2016-03-16T09:25,1,48, 0
2016-03-16T09:26,1,49, 0
2016-03-16T09:27,1,47, 0
2016-03-16T09:28,1,23, 1
2016-03-16T10:10,1,99, 79
2016-03-16T10:11,1,76, 57
2016-03-16T10:12,1,76, 0
2016-03-16T10:13,1,76, 50
2016-03-16T10:14,1,76, 19
2016-03-16T10:15,1,77, 7
2016-03-16T10:16,1,74, 0
2016-03-16T10:17,1,71, 0
2016-03-16T10:18,1,70, 0
2016-03-16T10:19,1,72, 24
2016-03-16T10:20,1,70, 70
2016-03-16T10:21,1,71, 70
2016-03-16T10:22,1,72, 37
2016-03-16T10:23,1,70, 0
2016-03-16T10:24,1,72, 0
2016-03-16T10:25,1,70, 0
2016-03-16T10:26,1,70, 0
2016-03-16T10:27,1,72, 0
2016-03-16T10:28,1,71, 0
2016-03-16T10:29,1,70, 0
2016-03-16T10:30,1,70, 0
2016-03-16T10:31,1,68, 0
2016-03-16T10:32,1,71, 0
2016-03-16T10:33,1,72, 0
2016-03-16T10:34,1,70, 4
2016-03-16T10:35,1,57, 0
2016-03-16T10:36,1,52, 0
2016-03-16T10:37,1,53, 0
2016-03-16T10:38,1,51, 0
2016-03-16T10:39,1,54, 0
2016-03-16T10:40,1,52, 0
2016-03-16T10:41,1,51, 0
2016-03-16T10:42,1,50, 0
2016-03-16T10:43,1,51, 0
2016-03-16T10:44,1,51, 0
2016-03-16T10:45,1,49, 0
2016-03-16T10:46,1,49, 0
2016-03-16T10:47,1,49, 0
2016-03-16T10:48,1,47, 0
2016-03-16T10:49,1,49, 0
2016-03-16T10:50,1,48, 0
2016-03-16T10:51,1,47, 0
