time,IPs,PUTs,updates
2016-03-16T10:52,1,48, 0
2016-03-16T10:53,1,48, 0
2016-03-16T10:54,1,48, 0
2016-03-16T10:55,1,48, 0
2016-03-16T10:56,1,48, 0
2016-03-16T10:57,1,48, 0
2016-03-16T10:58,1,48, 0
2016-03-16T10:59,1,48, 0
2016-03-16T11:00,1,48, 0
2016-03-16T11:01,1,48, 0
2016-03-16T11:02,1,48, 0
2016-03-16T11:03,1,64, 7
2016-03-16T11:04,1,73, 0
2016-03-16T11:05,1,75, 0
2016-03-16T11:06,1,54, 2
2016-03-16T11:07,1,77, 2
2016-03-16T11:08,1,77, 0
2016-03-16T11:09,1,73, 0
2016-03-16T11:10,1,74, 0
2016-03-16T11:11,1,75, 0
2016-03-16T11:12,1,73, 0
2016-03-16T11:13,1,75, 0
2016-03-16T11:14,1,71, 0
2016-03-16T11:15,1,43, 3
2016-03-16T12:30,1,51, 33
2016-03-16T12:31,1,84, 81
2016-03-16T12:32,1,74, 64
2016-03-16T12:33,1,74, 72
2016-03-16T12:34,1,74, 73
2016-03-16T12:35,1,75, 0
2016-03-16T12:36,1,73, 0
2016-03-16T12:37,1,74, 0
2016-03-16T12:38,1,71, 0
2016-03-16T12:39,1,71, 0
2016-03-16T12:40,1,72, 0
2016-03-16T12:41,1,70, 0
2016-03-16T12:42,1,72, 0
2016-03-16T12:43,1,70, 0
2016-03-16T12:44,1,70, 0
2016-03-16T12:45,1,72, 0
2016-03-16T12:46,1,72, 0
2016-03-16T12:47,1,68, 0
2016-03-16T12:48,1,72, 0
2016-03-16T12:49,1,74, 0
2016-03-16T12:50,1,70, 0
2016-03-16T12:51,1,70, 0
2016-03-16T12:52,1,70, 0
2016-03-16T12:53,1,71, 0
2016-03-16T12:54,1,71, 0
2016-03-16T12:55,1,70, 4
2016-03-16T12:56,1,56, 0
2016-03-16T12:57,1,52, 0
2016-03-16T12:58,1,53, 0
2016-03-16T12:59,1,53, 0
2016-03-16T13:00,1,53, 0
2016-03-16T13:01,1,53, 0
2016-03-16T13:02,1,53, 0
2016-03-16T13:03,1,53, 0
2016-03-16T13:04,1,53, 0
2016-03-16T13:05,1,53, 0
2016-03-16T13:06,1,40, 1
2016-03-17T07:27,1,74, 20
2016-03-17T07:28,1,82, 57
2016-03-17T07:29,1,79, 77
2016-03-17T07:30,1,80, 47
2016-03-17T07:31,1,79, 11
2016-03-17T07:32,1,77, 0
2016-03-17T07:33,1,79, 0
2016-03-17T07:34,1,76, 0
2016-03-17T07:35,1,74, 0
2016-03-17T07:36,1,72, 51
2016-03-17T07:37,1,72, 0
2016-03-17T07:38,1,73, 0
2016-03-17T07:39,1,72, 0
2016-03-17T07:40,1,72, 0
2016-03-17T07:41,1,72, 0
2016-03-17T07:42,1,72, 0
2016-03-17T07:43,1,68, 4
2016-03-17T07:44,1,54, 0
2016-03-17T07:45,1,53, 0
2016-03-17T07:46,1,52, 0
2016-03-17T07:47,1,54, 0
2016-03-17T07:48,1,52, 0
2016-03-17T07:49,1,53, 0
2016-03-17T07:50,1,54, 0
2016-03-17T07:51,1,53, 0
2016-03-17T07:52,1,53, 0
2016-03-17T07:53,1,53, 0
2016-03-17T07:54,1,53, 0
2016-03-17T07:55,1,50, 0
2016-03-17T07:56,1,49, 0
2016-03-17T07:57,1,49, 0
2016-03-17T07:58,1,48, 0
2016-03-17T07:59,1,48, 0
2016-03-17T08:00,1,48, 0
2016-03-17T08:01,1,48, 0
2016-03-17T08:02,1,49, 0
2016-03-17T08:03,1,48, 0
2016-03-17T08:04,1,48, 0
2016-03-17T08:05,1,48, 0
2016-03-17T08:06,1,48, 0
2016-03-17T08:07,1,48, 0
2016-03-17T08:08,1,49, 0
2016-03-17T08:09,1,48, 0
2016-03-17T08:10,1,49, 0
2016-03-17T08:11,1,48, 0
2016-03-17T08:12,1,48, 0
2016-03-17T08:13,1,49, 0
2016-03-17T08:14,1,48, 0
2016-03-17T08:15,1,48, 0
2016-03-17T08:16,1,49, 0
2016-03-17T08:17,1,48, 0
2016-03-17T08:18,1,48, 0
2016-03-17T08:19,1,49, 0
2016-03-17T08:20,1,49, 0
2016-03-17T08:21,1,48, 0
2016-03-17T08:22,1,48, 0
2016-03-17T08:23,1,48, 0
2016-03-17T08:24,1,13, 1
2016-03-17T09:58,1,35, 11
2016-03-17T09:59,1,90, 25
2016-03-17T10:00,1,76, 39
2016-03-17T10:01,1,76, 76
2016-03-17T10:02,1,78, 8
2016-03-17T10:03,1,76, 0
2016-03-17T10:04,1,76, 3
2016-03-17T10:05,1,76, 0
2016-03-17T10:06,1,72, 0
2016-03-17T10:07,1,72, 0
2016-03-17T10:08,1,73, 0
2016-03-17T10:09,1,74, 0
2016-03-17T10:10,1,72, 0
2016-03-17T10:11,1,72, 0
2016-03-17T10:12,1,71, 0
2016-03-17T10:13,1,73, 0
2016-03-17T10:14,1,72, 0
2016-03-17T10:15,1,70, 0
2016-03-17T10:16,1,73, 0
2016-03-17T10:17,1,71, 0
2016-03-17T10:18,1,73, 0
2016-03-17T10:19,1,73, 0
2016-03-17T10:20,1,72, 0
2016-03-17T10:21,1,74, 9
2016-03-17T10:22,1,72, 72
2016-03-17T10:23,1,72, 68
2016-03-17T10:24,1,72, 54
2016-03-17T10:25,1,72, 6
2016-03-17T10:26,1,63, 0
2016-03-17T10:27,1,18, 1
2016-03-17T12:14,1,52, 33
2016-03-17T12:15,1,85, 74
2016-03-17T12:16,1,77, 71
2016-03-17T12:17,1,77, 67
2016-03-17T12:18,1,76, 7
2016-03-17T12:19,1,76, 0
2016-03-17T12:20,1,74, 29
2016-03-17T12:21,1,73, 0
2016-03-17T12:22,1,72, 0
2016-03-17T12:23,1,72, 0
2016-03-17T12:24,1,70, 0
2016-03-17T12:25,1,72, 0
2016-03-17T12:26,1,72, 0
2016-03-17T12:27,1,72, 0
2016-03-17T12:28,1,71, 5
2016-03-17T12:29,1,73, 0
2016-03-17T12:30,1,96, 7
2016-03-17T12:31,1,76, 0
2016-03-17T12:32,1,74, 0
2016-03-17T12:33,1,75, 0
2016-03-17T12:34,1,76, 0
2016-03-17T12:35,1,76, 0
2016-03-17T12:36,1,76, 0
2016-03-17T12:37,1,75, 0
2016-03-17T12:38,1,76, 0
2016-03-17T12:39,1,74, 0
2016-03-17T12:40,1,76, 0
2016-03-17T12:41,1,73, 0
2016-03-17T12:42,1,72, 0
2016-03-17T12:43,1,72, 0
2016-03-17T12:44,1,72, 0
2016-03-17T12:45,1,72, 0
2016-03-17T12:46,1,74, 0
2016-03-17T12:47,1,72, 0
2016-03-17T12:48,1,73, 0
2016-03-17T12:49,1,62, 2
2016-03-17T12:50,1,48, 0
2016-03-17T12:51,1,48, 0
2016-03-17T12:52,1,48, 0
2016-03-17T12:53,1,48, 0
2016-03-17T12:54,1,48, 0
2016-03-17T12:55,1,48, 0
2016-03-17T12:56,1,48, 0
2016-03-17T12:57,1,48, 0
2016-03-17T12:58,1,48, 0
2016-03-17T12:59,1,48, 0
2016-03-17T13:00,1,49, 0
2016-03-17T13:01,1,48, 0
2016-03-17T13:02,1,48, 0
2016-03-17T13:03,1,48, 0
2016-03-17T13:04,1,48, 0
2016-03-17T13:05,1,48, 0
2016-03-17T13:06,1,48, 0
2016-03-17T13:07,1,47, 0
2016-03-17T13:08,1,48, 0
2016-03-17T13:09,1,48, 0
2016-03-17T13:10,1,48, 0
2016-03-17T13:11,1,48, 0
2016-03-17T13:12,1,48, 0
2016-03-17T13:13,1,15, 1
2016-03-17T13:27,1,84, 81
2016-03-17T13:28,1,80, 36
2016-03-17T13:29,1,80, 24
2016-03-17T13:30,1,78, 0
2016-03-17T13:31,1,79, 0
2016-03-17T13:32,1,80, 0
2016-03-17T13:33,1,76, 0
2016-03-17T13:34,1,75, 11
2016-03-17T13:35,1,74, 0
2016-03-17T13:36,1,74, 0
2016-03-17T13:37,1,74, 0
2016-03-17T13:38,1,75, 0
2016-03-17T13:39,1,73, 0
2016-03-17T13:40,1,72, 0
2016-03-17T13:41,1,74, 0
2016-03-17T13:42,1,72, 0
2016-03-17T13:43,1,75, 0
2016-03-17T13:44,1,73, 0
2016-03-17T13:45,1,75, 0
2016-03-17T13:46,1,75, 0
2016-03-17T13:47,1,74, 0
2016-03-17T13:48,1,74, 0
2016-03-17T13:49,1,74, 0
2016-03-17T13:50,1,75, 0
2016-03-17T13:51,1,74, 4
2016-03-17T13:52,1,62, 0
2016-03-17T13:53,1,48, 0
2016-03-17T13:54,1,48, 0
2016-03-17T13:55,1,48, 0
2016-03-17T13:56,1,48, 0
2016-03-17T13:57,1,48, 0
2016-03-17T13:58,1,47, 0
2016-03-17T13:59,1,48, 0
2016-03-17T14:00,1,32, 2
