time,PUTs,updates
2016-03-19T01:49:03,1, 1
2016-03-19T01:49:56,1, 1
2016-03-19T01:50:28,1, 1
2016-03-19T01:50:29,1, 1
2016-03-19T01:50:30,1, 0
2016-03-19T01:50:31,2, 0
2016-03-19T01:50:41,1, 0
2016-03-19T01:51:33,1, 1
2016-03-19T01:52:22,1, 0
2016-03-19T01:53:14,1, 1
2016-03-19T01:54:02,1, 0
2016-03-19T01:54:55,1, 0
2016-03-19T01:55:42,1, 0
2016-03-19T01:56:11,1, 1
2016-03-19T01:56:36,1, 0
2016-03-19T01:57:22,1, 0
2016-03-19T01:57:51,1, 1
2016-03-19T01:58:17,1, 0
2016-03-19T01:58:26,1, 1
2016-03-19T01:58:27,2, 1
2016-03-19T01:58:28,1, 0
2016-03-19T01:58:29,1, 0
2016-03-19T01:58:30,1, 0
2016-03-19T01:58:31,1, 0
2016-03-19T01:58:32,2, 0
2016-03-19T01:58:33,1, 0
2016-03-19T01:58:34,1, 0
2016-03-19T01:58:35,1, 0
2016-03-19T01:58:36,1, 0
2016-03-19T01:58:37,2, 0
2016-03-19T01:58:38,1, 0
2016-03-19T01:58:39,1, 0
2016-03-19T01:58:40,1, 0
2016-03-19T01:58:41,1, 0
2016-03-19T01:58:42,1, 0
2016-03-19T01:58:43,2, 0
2016-03-19T01:58:44,1, 0
2016-03-19T01:58:45,1, 0
2016-03-19T01:58:46,1, 0
2016-03-19T01:58:47,1, 0
2016-03-19T01:58:48,1, 0
2016-03-19T01:58:49,2, 0
2016-03-19T01:58:50,1, 0
2016-03-19T01:58:51,1, 0
2016-03-19T01:58:52,1, 0
2016-03-19T01:58:53,1, 0
2016-03-19T01:58:54,1, 0
2016-03-19T01:58:55,1, 0
2016-03-19T01:58:56,2, 0
2016-03-19T01:58:57,1, 0
2016-03-19T01:58:58,1, 0
2016-03-19T01:58:59,1, 0
2016-03-19T01:59:00,1, 0
2016-03-19T01:59:01,1, 0
2016-03-19T01:59:02,2, 0
2016-03-19T01:59:03,1, 0
2016-03-19T01:59:04,1, 0
2016-03-19T01:59:05,1, 0
2016-03-19T01:59:06,1, 0
2016-03-19T01:59:07,1, 0
2016-03-19T01:59:08,1, 0
2016-03-19T01:59:09,1, 0
2016-03-19T01:59:10,1, 0
2016-03-19T01:59:11,1, 0
2016-03-19T01:59:13,1, 0
2016-03-19T01:59:14,1, 0
2016-03-19T01:59:15,1, 0
2016-03-19T01:59:17,1, 0
2016-03-19T01:59:18,1, 0
2016-03-19T01:59:19,1, 0
2016-03-19T01:59:21,1, 0
2016-03-19T01:59:22,1, 0
2016-03-19T01:59:23,1, 0
2016-03-19T01:59:31,1, 0
2016-03-19T01:59:33,1, 0
2016-03-19T01:59:34,1, 0
2016-03-19T01:59:36,1, 0
2016-03-19T01:59:37,1, 0
2016-03-19T01:59:51,1, 1
2016-03-19T01:59:52,1, 1
2016-03-19T01:59:53,1, 1
2016-03-19T01:59:54,1, 1
2016-03-19T01:59:55,1, 0
2016-03-19T01:59:56,1, 0
2016-03-19T01:59:57,2, 1
2016-03-19T01:59:58,1, 0
2016-03-19T01:59:59,1, 0
2016-03-19T02:00:00,1, 0
2016-03-19T02:00:01,1, 0
2016-03-19T02:00:03,1, 0
2016-03-19T02:00:42,1, 0
2016-03-19T02:01:11,1, 0
2016-03-19T02:01:38,1, 0
2016-03-19T02:02:22,1, 0
2016-03-19T02:02:51,1, 0
2016-03-19T02:03:19,1, 0
