time,IPs,PUTs
2016-03-19T01:49,2,2
2016-03-19T01:50,1,6
2016-03-19T01:51,1,1
2016-03-19T01:52,1,1
2016-03-19T01:53,1,1
2016-03-19T01:54,2,2
2016-03-19T01:55,1,1
2016-03-19T01:56,2,2
2016-03-19T01:57,2,2
2016-03-19T01:58,2,41
2016-03-19T01:59,4,37
2016-03-19T02:00,2,4
2016-03-19T02:01,2,2
2016-03-19T02:02,2,2
2016-03-19T02:03,1,1
2016-03-19T02:04,2,2
2016-03-19T02:05,2,2
2016-03-19T02:06,2,2
2016-03-19T02:07,2,2
2016-03-19T02:08,1,1
2016-03-19T02:09,2,2
2016-03-19T02:10,3,3
2016-03-19T02:11,3,11
2016-03-19T02:12,2,2
2016-03-19T02:13,1,1
2016-03-19T02:14,2,2
2016-03-19T02:15,2,2
2016-03-19T02:16,2,2
2016-03-19T02:17,3,16
2016-03-19T02:18,2,47
2016-03-19T02:19,3,44
2016-03-19T02:20,4,51
2016-03-19T02:21,3,51
2016-03-19T02:22,2,3
2016-03-19T02:23,2,9
2016-03-19T02:24,1,1
2016-03-19T02:25,2,2
2016-03-19T02:26,1,1
2016-03-19T02:27,1,1
2016-03-19T02:28,1,1
2016-03-19T02:29,1,1
2016-03-19T02:30,2,2
2016-03-19T02:31,1,1
2016-03-19T02:32,1,1
2016-03-19T02:33,1,1
2016-03-19T02:34,1,1
2016-03-19T02:35,3,3
2016-03-19T02:36,2,2
2016-03-19T02:37,2,21
2016-03-19T02:38,2,6
2016-03-19T02:39,2,17
2016-03-19T02:40,2,2
2016-03-19T02:42,2,2
2016-03-19T02:43,1,1
2016-03-19T02:44,2,2
2016-03-19T02:45,3,7
2016-03-19T02:47,2,2
2016-03-19T02:48,2,19
2016-03-19T02:49,2,39
2016-03-19T02:50,3,5
2016-03-19T02:52,2,25
2016-03-19T02:53,2,2
2016-03-19T02:55,1,1
2016-03-19T02:57,1,1
2016-03-19T02:58,1,1
2016-03-19T03:00,1,1
2016-03-19T03:02,1,1
2016-03-19T03:03,2,53
2016-03-19T03:04,1,47
2016-03-19T03:05,2,49
2016-03-19T03:06,1,72
2016-03-19T03:07,2,143
2016-03-19T03:08,2,155
2016-03-19T03:09,1,227
2016-03-19T03:10,2,202
2016-03-19T03:11,1,139
2016-03-19T03:12,3,164
2016-03-19T03:13,3,177
2016-03-19T03:14,2,62
2016-03-19T03:15,2,18
2016-03-19T03:16,1,40
2016-03-19T03:17,2,41
2016-03-19T03:18,2,41
2016-03-19T03:19,1,33
2016-03-19T03:20,2,31
2016-03-19T03:21,1,36
2016-03-19T03:22,2,37
2016-03-19T03:23,2,36
2016-03-19T03:24,1,26
2016-03-19T03:25,3,47
2016-03-19T03:26,2,37
2016-03-19T03:27,2,22
2016-03-19T03:28,2,19
2016-03-19T03:29,1,28
2016-03-19T03:30,2,32
2016-03-19T03:31,1,26
2016-03-19T03:32,2,17
2016-03-19T03:33,1,1
2016-03-19T03:35,1,1
2016-03-19T03:37,1,1
2016-03-19T03:38,1,1
2016-03-19T03:40,1,1
2016-03-19T03:42,1,1
2016-03-19T03:44,1,1
2016-03-19T03:45,1,1
2016-03-19T03:46,1,36
2016-03-19T03:47,2,3
2016-03-19T03:49,2,6
2016-03-19T03:50,2,31
2016-03-19T03:52,1,1
2016-03-19T03:54,1,1
2016-03-19T03:55,1,1
2016-03-19T03:57,1,1
2016-03-19T03:59,1,1
