time,IPs,PUTs
2016-03-19T04:00,1,1
2016-03-19T04:02,1,1
2016-03-19T04:04,2,6
2016-03-19T04:05,2,7
2016-03-19T04:07,2,20
2016-03-19T04:09,1,1
2016-03-19T04:10,1,1
2016-03-19T04:12,1,1
2016-03-19T04:14,1,1
2016-03-19T04:15,1,1
2016-03-19T04:16,1,22
2016-03-19T04:17,2,6
2016-03-19T04:19,1,1
2016-03-19T04:20,1,1
2016-03-19T04:22,1,1
2016-03-19T04:24,1,1
2016-03-19T04:26,1,1
2016-03-19T04:27,2,2
2016-03-19T04:28,1,1
2016-03-19T04:29,1,1
2016-03-19T04:30,1,1
2016-03-19T04:31,1,1
2016-03-19T04:32,2,10
2016-03-19T04:33,1,52
2016-03-19T04:34,2,15
2016-03-19T04:35,1,5
2016-03-19T04:36,2,19
2016-03-19T04:37,1,1
2016-03-19T04:39,1,1
2016-03-19T04:40,1,17
2016-03-19T04:41,2,4
2016-03-19T04:42,1,1
2016-03-19T04:44,1,1
2016-03-19T04:46,1,1
2016-03-19T04:47,1,1
2016-03-19T04:49,1,1
2016-03-19T04:50,1,1
2016-03-19T04:51,1,1
2016-03-19T04:52,1,1
2016-03-19T04:54,1,1
2016-03-19T04:56,1,1
2016-03-19T04:57,1,1
2016-03-19T04:58,1,36
2016-03-19T04:59,2,42
2016-03-19T05:01,1,1
2016-03-19T05:02,1,1
2016-03-19T05:04,1,1
2016-03-19T05:06,1,1
2016-03-19T05:08,1,1
2016-03-19T05:09,1,1
2016-03-19T05:11,1,1
2016-03-19T05:13,1,1
2016-03-19T05:14,1,1
2016-03-19T05:16,1,1
2016-03-19T05:18,1,1
2016-03-19T05:19,1,1
2016-03-19T05:21,1,1
2016-03-19T05:23,1,1
2016-03-19T05:24,1,1
2016-03-19T05:26,4,4
2016-03-19T05:27,3,14
2016-03-19T05:28,2,2
2016-03-19T05:29,1,1
2016-03-19T05:31,1,1
2016-03-19T05:33,1,1
2016-03-19T05:34,1,1
2016-03-19T05:36,1,1
2016-03-19T05:38,1,1
2016-03-19T05:39,1,1
2016-03-19T05:40,1,1
2016-03-19T05:41,1,1
2016-03-19T05:43,2,7
2016-03-19T05:44,1,21
2016-03-19T05:45,1,1
2016-03-19T05:46,2,7
2016-03-19T05:47,1,35
2016-03-19T05:48,1,1
2016-03-19T05:50,1,1
2016-03-19T05:51,1,1
2016-03-19T05:53,1,1
2016-03-19T05:54,1,24
2016-03-19T05:55,2,7
2016-03-19T05:56,1,1
2016-03-19T05:58,1,1
2016-03-19T06:00,1,1
2016-03-19T06:01,1,1
2016-03-19T06:02,1,3
2016-03-19T06:03,1,1
2016-03-19T06:05,2,9
2016-03-19T06:06,1,35
2016-03-19T06:07,2,9
2016-03-19T06:08,1,1
2016-03-19T06:10,1,1
2016-03-19T06:12,1,1
2016-03-19T06:13,1,1
2016-03-19T06:15,1,1
2016-03-19T06:17,2,15
2016-03-19T06:18,2,10
2016-03-19T06:20,1,1
2016-03-19T06:22,1,1
2016-03-19T06:23,1,1
2016-03-19T06:25,1,1
2016-03-19T06:27,1,1
2016-03-19T06:28,1,1
2016-03-19T06:30,1,1
2016-03-19T06:32,1,1
2016-03-19T06:34,2,7
2016-03-19T06:35,2,3
2016-03-19T06:37,1,1
