IPs,milliseconds,PUTs,actualIPs,actualPUTs,reboots
2,1624018,323,2,61,0
13,721080,1021,13,62,2
13,110146,277,12,57,5
9,107298,290,9,47,3
9,61082,151,8,44,3
11,131728,430,9,52,4
24,260196,927,22,116,5
18,189852,651,16,85,8
18,154598,423,16,67,8
18,221669,416,17,76,9
11,72490,183,9,44,3
11,53303,203,10,56,9
7,11409,45,7,23,6
11,34517,86,11,28,4
11,69706,166,11,45,4
7,14858,42,6,20,5
5,6821,18,4,13,3
11,105052,148,10,36,3
10,107556,181,10,43,4
18,190231,585,17,113,6
11,34372,131,11,65,7
17,161611,355,16,67,10
14,121508,245,14,69,5
11,151660,205,10,51,4
15,270698,433,15,59,9
9,105933,128,6,36,4
10,522556,380,10,54,2
12,134125,256,9,58,2
15,187367,305,15,69,10
10,72924,188,10,69,7
15,256213,554,15,108,9
8,26205,102,8,56,6
6,47652,118,6,35,6
9,74977,139,8,31,4
13,131523,351,12,77,4
10,45837,167,9,30,5
8,47019,169,7,41,5
17,368733,567,17,136,8
2,3184,6,2,5,2
10,100428,119,5,51,1
22,464274,551,22,124,3
16,120716,266,13,72,5
14,122898,90,10,23,4
13,462638,240,12,62,1
20,950967,401,19,104,6
13,196774,104,13,38,4
15,808732,684,15,53,2
23,2901103,491,23,90,4
17,1279744,405,17,74,3
16,1418969,542,16,67,2
17,803808,378,17,91,3
12,385078,407,12,92,12
34,3488295,978,34,191,15
25,1881129,629,25,120,5
10,759701,104,10,64,7
17,2882520,863,16,123,11
40,8710653,1193,40,217,9
17,4097241,262,17,65,0
12,2868119,812,12,70,1
10,3824487,574,10,41,0
12,2636992,403,12,77,4
16,5956493,447,15,74,2
17,5463644,416,17,63,1
14,3056939,468,14,71,4
8,1241140,924,8,54,2
4,441267,236,4,17,4
14,5102264,1517,14,73,2
20,5485202,591,20,133,12
17,5392140,483,17,78,2
12,1487515,346,12,62,2
27,3446464,2305,27,192,7
9,873739,711,9,64,9
25,2979338,1130,25,103,4
8,1071826,159,8,40,4
21,3619523,937,21,132,7
8,436996,435,5,44,2
7,699039,208,7,49,5
14,1748591,506,14,68,4
12,2043502,621,12,74,6
12,2155189,806,12,65,4
13,2690614,602,13,93,7
10,329696,220,10,53,4
11,1708915,282,11,55,6
17,3492989,527,17,81,4
8,1047348,242,8,46,2
